"Field","Type","Null","Key","Default","Extra"
"ProductNumber","varchar(255)","YES","","",""
"ProductName","varchar(255)","YES","","",""
"ManufacturingDate","date","YES","","",""
"ExpiryDate","date","YES","","",""
"ProductDescription","varchar(255)","YES","","",""
"Price","decimal(10,2)","YES","","",""
"quantityInStock","int","YES","","",""
"Supplier","varchar(255)","YES","","",""
"SerialNumber","varchar(255)","YES","","",""
"Category","varchar(255)","YES","","",""
"SubCategory","varchar(255)","YES","","",""
"TaxRate","decimal(10,2)","YES","","",""
"ManufactureCountry","varchar(255)","YES","","",""
"Manufacturer","varchar(255)","YES","","",""
"ProductOwner","varchar(255)","YES","","",""
"ProductStatus","varchar(255)","YES","","",""
"ProductReview","varchar(255)","YES","","",""
"ProductSite","varchar(255)","YES","","",""
"ProductSupport","varchar(255)","YES","","",""
"ProductSupportEmail","varchar(255)","YES","","",""
"Active","varchar(255)","YES","","",""
"Notes","varchar(255)","YES","","",""
"ProductImage","varchar(255)","YES","","",""
"ProductUrl","varchar(255)","YES","","",""
"ProductTags","varchar(255)","YES","","",""
"ProductRating","varchar(255)","YES","","",""
"ProductReviewUrl","varchar(255)","YES","","",""
"ProductReviewDate","date","YES","","",""
"ProductReviewBy","varchar(255)","YES","","",""
